套件名稱,引用套件名稱,套件 Repo URL,License 名稱,License URL,備註
hashery,pdf-reader,https://github.com/rubyworks/hashery,Other,https://github.com/rubyworks/hashery/blob/master/LICENSE.txt,
i18n,"activesupport, rails-i18n",https://github.com/ruby-i18n/i18n,MIT License,https://github.com/ruby-i18n/i18n/blob/master/MIT-LICENSE,
image_processing,[直接依賴],https://github.com/janko/image_processing,MIT License,https://github.com/janko/image_processing/blob/master/LICENSE.txt,
jmespath,aws-sdk-core,https://github.com/trevorrowe/jmespath.rb,Apache License 2.0,https://github.com/trevorrowe/jmespath.rb/blob/main/LICENSE.txt,
json_requester,"[直接依賴], rpdoc",https://github.com/kdan-mobile-software-ltd/json_requester,MIT License,https://github.com/kdan-mobile-software-ltd/json_requester/blob/master/LICENSE,
jwt,[直接依賴],https://github.com/jwt/ruby-jwt,MIT License,https://github.com/jwt/ruby-jwt/blob/main/LICENSE,
kaminari,[直接依賴],https://github.com/kaminari/kaminari,MIT License,https://github.com/kaminari/kaminari/blob/master/MIT-LICENSE,
kaminari-actionview,kaminari,https://github.com/kaminari/kaminari,MIT License,https://github.com/kaminari/kaminari/blob/master/MIT-LICENSE,
kaminari-activerecord,kaminari,https://github.com/kaminari/kaminari,MIT License,https://github.com/kaminari/kaminari/blob/master/MIT-LICENSE,
kaminari-core,"kaminari, kaminari-actionview, kaminari-activerecord",https://github.com/kaminari/kaminari,MIT License,https://github.com/kaminari/kaminari/blob/master/MIT-LICENSE,
leveret_auth,[直接依賴],https://github.com/kdan-mobile-software-ltd/leveret_auth,MIT License,https://github.com/kdan-mobile-software-ltd/leveret_auth/blob/master/LICENSE,
listen,[直接依賴],https://github.com/guard/listen,MIT License,https://github.com/guard/listen/blob/master/LICENSE.txt,
lograge,[直接依賴],https://github.com/roidrage/lograge,MIT License,https://github.com/roidrage/lograge/blob/master/LICENSE.txt,
loofah,rails-html-sanitizer,https://github.com/flavorjones/loofah,MIT License,https://github.com/flavorjones/loofah/blob/main/MIT-LICENSE.txt,
mail,"actionmailbox, actionmailer",https://github.com/mikel/mail,MIT License,https://github.com/mikel/mail/blob/master/MIT-LICENSE,
marcel,activestorage,https://github.com/rails/marcel,Apache License 2.0,https://github.com/rails/marcel/blob/main/APACHE-LICENSE,
method_source,"pry, railties",http://banisterfiend.wordpress.com,未知,,非 GitHub 來源
mimemagic,[直接依賴],https://github.com/mimemagicrb/mimemagic,MIT License,https://github.com/mimemagicrb/mimemagic/blob/master/LICENSE,
mini_magick,"[直接依賴], image_processing",https://github.com/minimagick/minimagick,MIT License,https://github.com/minimagick/minimagick/blob/master/MIT-LICENSE,
mini_mime,"activestorage, mail",https://github.com/discourse/mini_mime,MIT License,https://github.com/discourse/mini_mime/blob/main/LICENSE.txt,
mini_portile2,nokogiri,https://github.com/flavorjones/mini_portile,MIT License,https://github.com/flavorjones/mini_portile/blob/main/LICENSE.txt,
minitest,"activesupport, rails-dom-testing",https://github.com/minitest/minitest,非標準 (),,License type could not be determined
msgpack,bootsnap,http://msgpack.org,未知,,非 GitHub 來源
multi_json,grape-entity,https://github.com/sferik/multi_json,MIT License,https://github.com/sferik/multi_json/blob/main/LICENSE.md,
multipart-post,faraday-multipart,https://github.com/socketry/multipart-post,MIT License,https://github.com/socketry/multipart-post/blob/main/license.md,
net-http-persistent,azure-storage-common,https://github.com/drbrain/net-http-persistent,非標準 (),,License type could not be determined
net-imap,mail,https://github.com/ruby/net-imap,非標準 (NOASSERTION),https://github.com/ruby/net-imap/blob/master/LICENSE.txt,"License type could not be determined. Content mentions: BSD License, Ruby License"
net-ldap,leveret_auth,https://github.com/ruby-ldap/ruby-net-ldap,Other,https://github.com/ruby-ldap/ruby-net-ldap/blob/master/License.rdoc,
net-pop,mail,https://github.com/ruby/net-pop,"BSD 2-Clause ""Simplified"" License",https://github.com/ruby/net-pop/blob/master/LICENSE.txt,
net-protocol,"net-imap, net-pop, net-smtp",https://github.com/ruby/net-protocol,非標準 (NOASSERTION),https://github.com/ruby/net-protocol/blob/master/COPYING,"License type could not be determined. Content mentions: BSD License, Public Domain"
net-smtp,mail,https://github.com/ruby/net-smtp,非標準 (NOASSERTION),https://github.com/ruby/net-smtp/blob/master/LICENSE.txt,License type could not be determined. Content mentions: Ruby License
nio4r,"actioncable, puma",https://github.com/socketry/nio4r,Other,https://github.com/socketry/nio4r/blob/main/license.md,
nokogiri,"actiontext, azure-storage-blob, azure-storage-common, loofah, mimemagic, rails-dom-testing, rails-html-sanitizer",https://github.com/sparklemotion/nokogiri,MIT License,https://github.com/sparklemotion/nokogiri/blob/main/LICENSE.md,
orm_adapter,devise,https://github.com/ianwhite/orm_adapter,MIT License,https://github.com/ianwhite/orm_adapter/blob/master/LICENSE,
pdf-reader,[直接依賴],https://github.com/yob/pdf-reader,MIT License,https://github.com/yob/pdf-reader/blob/main/MIT-LICENSE,
pg,[直接依賴],https://github.com/ged/ruby-pg,非標準 (NOASSERTION),https://github.com/ged/ruby-pg/blob/master/LICENSE,"License type could not be determined. Content mentions: BSD License, Public Domain"
phonelib,[直接依賴],https://github.com/daddyz/phonelib,MIT License,https://github.com/daddyz/phonelib/blob/master/MIT-LICENSE,
pry,"[直接依賴], pry-byebug",https://github.com/pry/pry,Other,https://github.com/pry/pry/blob/master/LICENSE,
pry-byebug,[直接依賴],https://github.com/deivid-rodriguez/pry-byebug,MIT License,https://github.com/deivid-rodriguez/pry-byebug/blob/master/LICENSE,
psych,[直接依賴],https://github.com/ruby/psych,MIT License,https://github.com/ruby/psych/blob/master/LICENSE,
puma,[直接依賴],https://github.com/puma/puma,"BSD 3-Clause ""New"" or ""Revised"" License",https://github.com/puma/puma/blob/main/LICENSE,
racc,nokogiri,https://github.com/ruby/racc,非標準 (NOASSERTION),https://github.com/ruby/racc/blob/master/COPYING,"License type could not be determined. Content mentions: BSD License, Public Domain"
rack,"actionpack, rack-cors, rack-test, request_store, sidekiq, sprockets, warden",https://github.com/rack/rack,Other,https://github.com/rack/rack/blob/main/MIT-LICENSE,
