套件名稱,引用套件名稱,套件 Repo URL,License 名稱,License URL,備註
@babel/plugin-transform-for-of,,https://github.com/babel/babel,MIT License,https://github.com/babel/babel/blob/main/LICENSE,
@babel/plugin-transform-function-name,,https://github.com/babel/babel,MIT License,https://github.com/babel/babel/blob/main/LICENSE,
@babel/plugin-transform-json-strings,,https://github.com/babel/babel,MIT License,https://github.com/babel/babel/blob/main/LICENSE,
@babel/plugin-transform-literals,,https://github.com/babel/babel,MIT License,https://github.com/babel/babel/blob/main/LICENSE,
@babel/plugin-transform-logical-assignment-operators,,https://github.com/babel/babel,MIT License,https://github.com/babel/babel/blob/main/LICENSE,
@babel/plugin-transform-member-expression-literals,,https://github.com/babel/babel,MIT License,https://github.com/babel/babel/blob/main/LICENSE,
@babel/plugin-transform-modules-amd,,https://github.com/babel/babel,MIT License,https://github.com/babel/babel/blob/main/LICENSE,
@babel/plugin-transform-modules-commonjs,,https://github.com/babel/babel,MIT License,https://github.com/babel/babel/blob/main/LICENSE,
@babel/plugin-transform-modules-systemjs,,https://github.com/babel/babel,MIT License,https://github.com/babel/babel/blob/main/LICENSE,
@babel/plugin-transform-modules-umd,,https://github.com/babel/babel,MIT License,https://github.com/babel/babel/blob/main/LICENSE,
@babel/plugin-transform-named-capturing-groups-regex,,https://github.com/babel/babel,MIT License,https://github.com/babel/babel/blob/main/LICENSE,
@babel/plugin-transform-new-target,,https://github.com/babel/babel,MIT License,https://github.com/babel/babel/blob/main/LICENSE,
@babel/plugin-transform-nullish-coalescing-operator,,https://github.com/babel/babel,MIT License,https://github.com/babel/babel/blob/main/LICENSE,
@babel/plugin-transform-numeric-separator,,https://github.com/babel/babel,MIT License,https://github.com/babel/babel/blob/main/LICENSE,
@babel/plugin-transform-object-rest-spread,,https://github.com/babel/babel,MIT License,https://github.com/babel/babel/blob/main/LICENSE,
@babel/plugin-transform-object-super,,https://github.com/babel/babel,MIT License,https://github.com/babel/babel/blob/main/LICENSE,
@babel/plugin-transform-optional-catch-binding,,https://github.com/babel/babel,MIT License,https://github.com/babel/babel/blob/main/LICENSE,
@babel/plugin-transform-optional-chaining,,https://github.com/babel/babel,MIT License,https://github.com/babel/babel/blob/main/LICENSE,
@babel/plugin-transform-parameters,,https://github.com/babel/babel,MIT License,https://github.com/babel/babel/blob/main/LICENSE,
@babel/plugin-transform-private-methods,,https://github.com/babel/babel,MIT License,https://github.com/babel/babel/blob/main/LICENSE,
@babel/plugin-transform-private-property-in-object,,https://github.com/babel/babel,MIT License,https://github.com/babel/babel/blob/main/LICENSE,
